d_codigo;Colonia;Tipo;Municipio;Estado;d_ciudad;c_estado;c_oficina;c_CP;c_tipo_asenta;c_mnpio;id_asenta_cpcons;d_zona;c_cve_ciudad
1184;Nelli Campo Bello;Unidad habitacional;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1131;;31;10;2720;Urbano;1
1200;Arturo Martínez;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1291;;9;10;79;Urbano;1
1210;Santa Fe;Pueblo;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1291;;28;10;82;Urbano;1
1219;Lomas de Santa Fe;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1291;;9;10;84;Urbano;1
1220;Bonanza;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1291;;9;10;85;Urbano;1
1220;Cuevitas;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1291;;9;10;86;Urbano;1
1220;La Estrella;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1291;;9;10;2681;Urbano;1
1220;Zenón Delgado;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1291;;9;10;90;Urbano;1
1220;Mártires de Tacubaya;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1291;;9;10;89;Urbano;1
1220;El Cuernito;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1291;;9;10;87;Urbano;1
1230;El Piru 2a Ampliación;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1291;;9;10;224;Urbano;1
1230;Los Gamitos;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1291;;9;10;97;Urbano;1
1230;Tlapechico;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1291;;9;10;98;Urbano;1
1230;El Piru Santa Fe;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1291;;9;10;132;Urbano;1
1230;Campo de Tiro los Gamitos;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1291;;9;10;92;Urbano;1
1239;La Huerta;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1291;;9;10;102;Urbano;1
1240;Pueblo Nuevo;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1291;;9;10;103;Urbano;1
1250;Margarita Maza de Juárez;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1291;;9;10;107;Urbano;1
1250;El Árbol;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1291;;9;10;104;Urbano;1
1250;Ladera;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1291;;9;10;105;Urbano;1
1250;Tecolalco;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1291;;9;10;108;Urbano;1
1250;Lomas de Nuevo México;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1291;;9;10;106;Urbano;1
1259;Ampliación La Cebada;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1291;;9;10;109;Urbano;1
1259;La Mexicana 2a Ampliación;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1291;;9;10;2845;Urbano;1
1260;La Mexicana;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1291;;9;10;112;Urbano;1
1260;La Palmita;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1291;;9;10;114;Urbano;1
1260;Liberación Proletaria;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1291;;9;10;115;Urbano;1
1260;Ampliación La Mexicana;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1291;;9;10;113;Urbano;1
1260;Calzada Jalalpa;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1291;;9;10;110;Urbano;1
1269;2a Sección Cañada;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1291;;9;10;118;Urbano;1
1269;1a Sección Cañada;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1291;;9;10;117;Urbano;1
1270;La Presa;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1291;;9;10;121;Urbano;1
1270;Golondrinas 2a Sección;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1291;;9;10;125;Urbano;1
1270;Golondrinas;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1291;;9;10;123;Urbano;1
1270;Golondrinas 1a Sección;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1291;;9;10;124;Urbano;1
1270;El Tejocote;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1291;;9;10;120;Urbano;1
1270;Lomas de Capula;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1291;;9;10;127;Urbano;1
1275;Villa Solidaridad;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1291;;9;10;131;Urbano;1
1276;El Pirul;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1291;;9;10;93;Urbano;1
1278;Desarrollo Urbano;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1291;;9;10;133;Urbano;1
1279;Lomas de Becerra;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1291;;9;10;136;Urbano;1
1280;Arvide;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1291;;9;10;138;Urbano;1
1280;La Joya;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1291;;9;10;141;Urbano;1
1280;El Pocito;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1291;;9;10;139;Urbano;1
1280;Francisco Villa;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1291;;9;10;140;Urbano;1
1280;Lomas de Becerra;Unidad habitacional;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1291;;31;10;143;Urbano;1
1285;El Rodeo;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1291;;9;10;144;Urbano;1
1289;Reacomodo El Cuernito;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1291;;9;10;146;Urbano;1
1290;Piloto Adolfo López Mateos;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1291;;9;10;147;Urbano;1
1290;Presidentes;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1291;;9;10;148;Urbano;1
