d_codigo;Municipio;Estado;d_ciudad;c_estado;c_oficina;c_CP;c_tipo_asenta;c_mnpio;id_asenta_cpcons;d_zona;c_cve_ciudad
1089;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1001;;9;10;24;Urbano;1
1090;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1001;;28;10;28;Urbano;1
1100;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1131;;9;10;31;Urbano;1
1109;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1131;;9;10;33;Urbano;1
1110;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1131;;9;10;34;Urbano;1
1120;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1131;;31;10;50;Urbano;1
1125;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1131;;9;10;43;Urbano;1
1130;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1131;;9;10;53;Urbano;1
1139;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1131;;9;10;58;Urbano;1
1140;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1131;;9;10;59;Urbano;1
1150;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1131;;9;10;64;Urbano;1
1159;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1131;;22;10;65;Urbano;1
1160;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1131;;9;10;68;Urbano;1
1170;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1131;;9;10;74;Urbano;1
1180;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1131;;9;10;76;Urbano;1
1184;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1131;;31;10;2720;Urbano;1
1200;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1291;;9;10;79;Urbano;1
1210;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1291;;28;10;82;Urbano;1
1219;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1291;;9;10;84;Urbano;1
1220;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1291;;9;10;85;Urbano;1
1230;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1291;;9;10;224;Urbano;1
1239;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1291;;9;10;102;Urbano;1
1240;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1291;;9;10;103;Urbano;1
1250;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1291;;9;10;107;Urbano;1
1259;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1291;;9;10;109;Urbano;1
1260;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1291;;9;10;112;Urbano;1
1269;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1291;;9;10;118;Urbano;1
1270;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1291;;9;10;121;Urbano;1
1275;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1291;;9;10;131;Urbano;1
1276;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1291;;9;10;93;Urbano;1
1278;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1291;;9;10;133;Urbano;1
1279;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1291;;9;10;136;Urbano;1
1280;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1291;;9;10;138;Urbano;1
1285;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1291;;9;10;144;Urbano;1
1289;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1291;;9;10;146;Urbano;1
1290;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1291;;9;10;147;Urbano;1
1296;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1291;;9;10;153;Urbano;1
1298;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1291;;9;10;156;Urbano;1
1299;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1291;;9;10;160;Urbano;1
1310;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1291;;9;10;163;Urbano;1
1320;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1291;;9;10;164;Urbano;1
1330;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1291;;9;10;168;Urbano;1
1340;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1291;;9;10;170;Urbano;1
1376;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1291;;9;10;2682;Urbano;1
1377;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1291;;9;10;172;Urbano;1
1379;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1401;;31;10;174;Urbano;1
1389;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1291;;9;10;176;Urbano;1
1400;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1401;;9;10;181;Urbano;1
1407;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1401;;9;10;187;Urbano;1
1408;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1401;;9;10;188;Urbano;1
1410;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1401;;9;10;194;Urbano;1
1419;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1401;;9;10;195;Urbano;1
